source,target
0,1
0,529
0,651
0,1519
0,1779
0,2078
0,2100
0,2345
0,2346
0,3533
0,3687
0,3688
0,4603
0,4645
0,5612
0,6407
0,6878
0,7105
0,7364
0,7373
0,7695
0,7696
0,8897
0,9174
0,9967
0,9968
0,10232
0,10233
0,10988
0,11072
0,11073
0,11253
0,11678
1,529
1,651
1,1519
1,1779
1,2078
1,2100
1,2345
1,2346
1,3533
1,3687
1,3688
1,4603
1,4645
1,5612
1,6407
1,6878
1,7105
1,7364
1,7373
1,7695
1,7696
1,8897
1,9174
1,9967
1,9968
1,10232
1,10233
1,10988
1,11072
1,11073
1,11253
1,11678
529,651
529,1519
529,1779
529,2078
529,2100
529,2345
529,2346
529,3533
529,3687
529,3688
529,4603
529,4645
529,5612
529,6407
529,6878
529,7105
529,7364
529,7373
529,7695
529,7696
529,8897
529,9174
529,9967
529,9968
529,10232
529,10233
529,10988
529,11072
529,11073
529,11253
529,11678
651,1519
651,1779
651,2078
651,2100
651,2345
651,2346
651,3533
651,3687
651,3688
651,4603
651,4645
651,5612
651,6407
651,6878
651,7105
651,7364
651,7373
651,7695
651,7696
651,8897
651,9174
651,9967
651,9968
651,10232
651,10233
651,10988
651,11072
651,11073
651,11253
651,11678
1519,1779
1519,2078
1519,2100
1519,2345
1519,2346
1519,3533
1519,3687
1519,3688
1519,4603
1519,4645
1519,5612
1519,6407
1519,6878
1519,7105
1519,7364
1519,7373
1519,7695
1519,7696
1519,8897
1519,9174
1519,9967
1519,9968
1519,10232
1519,10233
1519,10988
1519,11072
1519,11073
1519,11253
1519,11678
1779,2078
1779,2100
1779,2345
1779,2346
1779,3533
1779,3687
1779,3688
1779,4603
1779,4645
1779,5612
1779,6407
1779,6878
1779,7105
1779,7364
1779,7373
1779,7695
1779,7696
1779,8897
1779,9174
1779,9967
1779,9968
1779,10232
1779,10233
1779,10988
1779,11072
1779,11073
1779,11253
1779,11678
2078,2100
2078,2345
2078,2346
2078,3533
2078,3687
2078,3688
2078,4603
2078,4645
2078,5612
2078,6407
2078,6878
2078,7105
2078,7364
2078,7373
2078,7695
2078,7696
2078,8897
2078,9174
2078,9967
2078,9968
2078,10232
2078,10233
2078,10988
2078,11072
2078,11073
2078,11253
2078,11678
2100,2345
2100,2346
2100,3533
2100,3687
2100,3688
2100,4603
2100,4645
2100,5612
2100,6407
2100,6878
2100,7105
2100,7364
2100,7373
2100,7695
2100,7696
2100,8897
2100,9174
2100,9967
2100,9968
2100,10232
2100,10233
2100,10988
2100,11072
2100,11073
2100,11253
2100,11678
2345,2346
2345,3533
2345,3687
2345,3688
2345,4603
2345,4645
2345,5612
2345,6407
2345,6878
2345,7105
2345,7364
2345,7373
2345,7695
2345,7696
2345,8897
2345,9174
2345,9967
2345,9968
2345,10232
2345,10233
2345,10988
2345,11072
2345,11073
2345,11253
2345,11678
2346,3533
2346,3687
