id,name,money,institute
0,Alexander Givental,71524,University of California-Berkeley
1,David Bromwich,10168,Ohio State University Research Foundation -DO NOT USE
2,Prashant Kumta,365700,Carnegie-Mellon University
3,Mario Magana,131089,Oregon State University
4,Wojtek Kolodziej,137159,Oregon State University
5,Molly Shor,167788,Oregon State University
6,Michael Fisch,120000,John Carroll University
7,KamYin Lau,540787,University of California-Berkeley
10,Jonathan Wahl,75000,University of North Carolina at Chapel Hill
11,Timothy Killeen,560967,University of Michigan Ann Arbor
12,Rick Niciejewski,576204,University of Michigan Ann Arbor
13,William Coley,100000,University of Texas at Dallas
14,Edward Breig,100000,University of Texas at Dallas
15,James Irwin,95623,Central Michigan University
16,James Ferguson,9000,University of California-Irvine
18,Douglas Medin,207284,Northwestern University
20,H Kimble,822252,California Institute of Technology
21,Fred Wudl,305000,University of California-Santa Barbara
22,Ihab Farag,67466,University of New Hampshire
23,John Wright,348226,TDA Research, Inc
27,Sharon Lubkin,75000,PA Fellowships
28,Branimir Boguraev,390697,Brandeis University
29,James Pustejovsky,390697,Brandeis University
31,James Pacheco,253702,University of New Mexico
32,Abhaya Datye,253702,University of New Mexico
33,Michael Prairie,253702,University of New Mexico
37,Martin Smith,204804,University of California-Irvine
40,MGregory Forest,178129,Ohio State University Research Foundation -DO NOT USE
41,Stephen Bechtel,178129,Ohio State University Research Foundation -DO NOT USE
42,MaxMK Liu,84720,University of Arizona
43,Darlene Schuster,73860,Bucknell University
44,William Snyder,73860,Bucknell University
45,Maurice Aburdene,73860,Bucknell University
46,Edward Mastascusa,73860,Bucknell University
47,William Jenkins,986018,Woods Hole Oceanographic Institution
48,Stuart Clough,419656,University of Richmond
50,John Rabalais,495000,University of Houston
54,Jerry Bell,2841327,American Association For Advancement Science
55,Bhama Srinivasan,15000,University of Illinois at Chicago
56,Kip Hodges,313551,Massachusetts Institute of Technology
57,Samuel Bowring,223189,Massachusetts Institute of Technology
59,Kenneth Wiberg,639000,Yale University
61,Barbara AbrahamShrauner,150478,Washington University
65,Ferris Webster,1133634,University of Delaware
66,Irwin Shapiro,3522028,Harvard University
67,Leslie Mathers,25000,Methodist Medical Center of Illinois
68,David Ryan,25000,Methodist Medical Center of Illinois
69,Nancy Smith,25000,Methodist Medical Center of Illinois
70,Steven Riney,25000,Methodist Medical Center of Illinois
71,Royden Jones,25000,Methodist Medical Center of Illinois
72,Richard Newbould,25000,Methodist Medical Center of Illinois
73,Michael Malamy,300000,Tufts University
74,Madeline Rasche,105000,Fellowships
75,Hale Bradt,19735,Massachusetts Institute of Technology
76,Ronald Remillard,19735,Massachusetts Institute of Technology
77,Robert Kelly,10000,United Engineering Trustees, Inc.
81,Cara Lown,104805,Princeton University
83,P Shah,229909,Auburn University
84,Zhi Yu,86200,Auburn University
85,Ronald Neuman,229909,Auburn University
86,Mahmoud ElHalwagi,86200,Auburn University
87,Kent Wilken,110946,University of California-Davis
88,David Policansky,69946,National Academy of Sciences
89,Sharon RobinsonKurpius,92088,Arizona State University
90,Barbara Kerr,92088,Arizona State University
91,Robert Lucht,295188,University of Illinois at Urbana-Champaign
92,Orrin Pilkey,48000,Duke University
93,David Caron,586501,Woods Hole Oceanographic Institution
94,John Ayers,87843,Vanderbilt University
95,Jerome Congleton,10000,Texas A&M Engineering Experiment Station
96,DRandolph Watts,176500,University of Rhode Island
97,Ivan Getting,72362,University of Colorado at Boulder
100,Michael Loose,12890,Oberlin College
101,Dennison Smith,12890,Oberlin College
102,Bret Jackson,201000,University of Massachusetts Amherst
103,Michael Nachman,130000,Cornell University
104,Arthur DeVries,474953,University of Illinois at Urbana-Champaign
105,Charles Kolb,345153,Aerodyne Research Inc
106,Douglas Worsnop,345153,Aerodyne Research Inc
107,Francine BlanchetSadri,60757,University of North Carolina Greensboro
108,Sylvia Ceyer,397892,Massachusetts Institute of Technology
109,James Kaput,2452090,University of Massachusetts, Dartmouth
110,None None,96100,University of Vermont & State Agricultural College
111,Carol Parssinen,100000,Franklin Institute Science Museum
113,August Witt,3000,Massachusetts Institute of Technology
114,Mary Porter,500000,University of Minnesota-Twin Cities
115,Lois Beck,11745,Washington University
116,Gene Likens,650000,Institute of Ecosystem Studies
117,Kathleen Weathers,99000,Institute of Ecosystem Studies
118,Gaetano Montelione,312500,Rutgers University New Brunswick
119,Everett Greenberg,6000,Gordon Research Conferences
120,Alan Barbour,6000,Gordon Research Conferences
121,Nyles Charon,6000,Gordon Research Conferences
122,Emily Klein,53704,Duke University
124,Don Kash,16250,George Mason University
125,Robert Griess,60000,University of Michigan Ann Arbor
126,Bernard Sadoulet,19368,University of California-Berkeley
127,Jay Bass,467538,University of Illinois at Urbana-Champaign
128,John Kieffer,312881,University of Illinois at Urbana-Champaign
129,Robert Bach,270000,Wayne State University
130,Jeremy Sabloff,10695,University of Pittsburgh
131,Ryszard Pryputniewicz,10000,Worcester Polytechnic Institute
