PEKING UNIVERSITY	北京大学
NATIONAL INSTITUTE ON DRUG ABUSE	国家药物滥用研究所
UNIVERSITY OF CALIFORNIA, BERKELEY	加州大学伯克利分校
CHINESE ACADEMY OF SCIENCES	中国科学院
BEIJING NORMAL UNIVERSITY	北京师范大学
MICROSOFT	微软
TIANJIN UNIVERSITY	天津大学
CHINA MEDICAL UNIVERSITY	中国医科大学
THIRD MILITARY MEDICAL UNIVERSITY	第三军医大学
BEIJING JISHUITAN HOSPITAL	北京积水潭医院
TSINGHUA UNIVERSITY	清华大学
MAX PLANCK SOCIETY	马克思·普朗克学会
JINAN UNIVERSITY	暨南大学
NORTHWEST UNIVERSITY	西北大学
TEMPLE UNIVERSITY	天普大学
SICHUAN UNIVERSITY	四川大学
ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI	西奈山医学院
ZHEJIANG UNIVERSITY	浙江大学
OSAKA UNIVERSITY	大阪大学
RICE UNIVERSITY	赖斯大学
SUNCHON NATIONAL UNIVERSITY	顺天国立大学
KUMAMOTO UNIVERSITY	熊本大学
MASSACHUSETTS INSTITUTE OF TECHNOLOGY	麻省理工学院
SOUTH CHINA UNIVERSITY OF TECHNOLOGY	华南理工大学
DALIAN UNIVERSITY OF TECHNOLOGY	大连理工大学
NANYANG TECHNOLOGICAL UNIVERSITY	南洋理工大学
EAST CHINA NORMAL UNIVERSITY	华东师范大学
HONG KONG POLYTECHNIC UNIVERSITY	香港理工大学
HARVARD UNIVERSITY	哈佛大学
UNIVERSITY OF CALIFORNIA, DAVIS	加州大学戴维斯分校
BEIJING INSTITUTE OF GENOMICS	北京基因组学研究所
SOUTHWEST JIAOTONG UNIVERSITY	西南交通大学
JILIN UNIVERSITY	吉林大学
NATIONAL INSTITUTES OF HEALTH	国立卫生研究院
UNIVERSITY OF QUEENSLAND	昆士兰大学
JOHNS HOPKINS UNIVERSITY	约翰霍普金斯大学
NORTHWESTERN POLYTECHNICAL UNIVERSITY	西北工业大学
ARGONNE NATIONAL LABORATORY	阿贡国家实验室
NATIONAL UNIVERSITY OF SINGAPORE	新加坡国立大学
PENNSYLVANIA STATE UNIVERSITY	宾夕法尼亚州立大学
CHINA AGRICULTURAL UNIVERSITY	中国农业大学
AUSTRALIAN NATIONAL UNIVERSITY	澳大利亚国立大学
HOFFMANN-LA ROCHE	霍夫曼-罗氏
BEIJING JIAOTONG UNIVERSITY	北京交通大学
BEIJING UNIVERSITY OF POSTS AND TELECOMMUNICATIONS	北京邮电大学
INTEL	英特尔
CHINA UNIVERSITY OF GEOSCIENCES	中国地质大学
FOXCONN	富士康
UNIVERSITY OF BATH	巴斯大学
BRANDEIS UNIVERSITY	布兰来斯大学
BOSTON UNIVERSITY	波士顿大学
XIDIAN UNIVERSITY	西安电子科技大学
AGRICULTURAL RESEARCH SERVICE	农业研究服务
KATHOLIEKE UNIVERSITEIT LEUVEN	KATHOLIEKE 大学鲁汶
UNIVERSITY OF MICHIGAN	密歇根大学
UNITED STATES MILITARY ACADEMY	美国军事学院
FUDAN UNIVERSITY	复旦大学
CITY UNIVERSITY OF HONG KONG	香港城市大学
CENTRAL SOUTH UNIVERSITY	中南大学
UNIVERSITY OF WISCONSIN-MADISON	威斯康星大学麦迪逊分校
CHARTERED SEMICONDUCTOR MANUFACTURING	特许半导体制造
TEXAS A&M UNIVERSITY	德克萨斯A&M大学
XI'AN JIAOTONG UNIVERSITY	西安交通大学
CHANG'AN UNIVERSITY	长安大学
YALE UNIVERSITY	耶鲁大学
DALIAN INSTITUTE OF CHEMICAL PHYSICS	大连化学物理研究所
SUN YAT-SEN UNIVERSITY	中山大学
JOHNS HOPKINS UNIVERSITY SCHOOL OF MEDICINE	约翰霍普金斯大学医学院
AFFYMETRIX	AFFYMETRIX
COLORADO STATE UNIVERSITY	科罗拉多州立大学
UNIVERSITY COLLEGE LONDON	伦敦大学学院
GEORGETOWN UNIVERSITY MEDICAL CENTER	乔治敦大学医学中心
UNIVERSITY OF LEEDS	利兹大学
TONGJI UNIVERSITY	同济大学
BOSTON MEDICAL CENTER	波士顿医疗中心
UNIVERSITY OF BONN	波恩大学
GEORGIA REGENTS UNIVERSITY	乔治亚摄政大学
NATIONAL CHENG KUNG UNIVERSITY	国立诚武大学
G. D. SEARLE & COMPANY	塞尔公司
OHIO STATE UNIVERSITY	俄亥俄州立大学
UNIVERSITY OF CENTRAL FLORIDA	中佛罗里达大学
UNIVERSITY OF WESTERN SYDNEY	西悉尼大学
UNIVERSITY OF WOLVERHAMPTON	胡弗汉顿大学
